"","name","latitude","longitude"
"1","Re-31",47.2374111115177,-61.8358097059599
"2","Re-32",47.2370771810107,-61.8372747030132
"3","Re-33",47.2368305678856,-61.8394454047198
"4","Re-34",47.2381852598491,-61.834602924766
"5","Re-35",47.2369930858619,-61.840400599909
"6","Re-36",47.2377088130495,-61.8350202435358
"7","Re-37",47.2369401849372,-61.8380368595285
"8","Re-38",47.2377296052513,-61.8351401443674
"9","Re-39",47.2370498035187,-61.841174884911
"10","Re-40",47.2373487358546,-61.8359291602298
"11","Re-41",47.2371506188698,-61.8415859559195
"12","Re-42",47.2376341523834,-61.8351907296242
"13","Re-43",47.2370657745228,-61.8403678528581
"14","Re-44",47.2369152067506,-61.8399898463097
"15","Re-45",47.2374416412194,-61.8355814572363
"16","Re-46",47.2370244662186,-61.8379684789347
"17","Re-47",47.2371458739161,-61.8369551886056
"18","Re-48",47.2369876083866,-61.8383207724647
"19","Re-49",47.2371970292209,-61.8364831471286
"20","Re-50",47.2370524663726,-61.8404848957771
"21","SiL-31",47.2371567377243,-61.8375972375741
"22","SiL-32",47.2372367506993,-61.841203258429
"23","SiL-33",47.2374684596124,-61.8366063757932
"24","SiL-34",47.2373106689732,-61.8362684770207
"25","SiL-35",47.2374670306725,-61.8412663842218
"26","SiL-36",47.2372996149732,-61.8384535623919
"27","SiL-37",47.2371747805355,-61.8377910021029
"28","SiL-38",47.2375272137595,-61.8412706451724
"29","SiL-39",47.2373164622232,-61.8376703686697
"30","SiL-40",47.2375030879733,-61.8365202310076
"31","SiL-41",47.237978513022,-61.835376416321
"32","SiL-42",47.2372415213628,-61.8374425280325
"33","SiL-43",47.2369908378032,-61.8393881476689
"34","SiL-44",47.2375059564881,-61.8366294972446
"35","SiL-45",47.2372595874249,-61.8382395237432
"36","SiL-46",47.2374261994397,-61.8416481508587
"37","SiL-47",47.2371664116247,-61.8369524934542
"38","SiL-48",47.2377625963,-61.8355087534011
"39","SiL-49",47.2374277894203,-61.8412317528994
"40","SiL-50",47.2378263241668,-61.835250192169
"41","SiO-31",47.2374369234565,-61.8421756727932
"42","SiO-32",47.2377620342607,-61.8429180409247
"43","SiO-33",47.2374040780729,-61.8420785800192
"44","SiO-34",47.2377323702756,-61.8431219887815
"45","SiO-35",47.2376311317866,-61.8425324199936
"46","SiO-36",47.237524934286,-61.8423012280039
"47","SiO-37",47.2376644612765,-61.8424661135402
"48","SiO-38",47.2373865843658,-61.8419587245812
"49","SiO-39",47.2374992401332,-61.8422962082758
"50","SiO-40",47.2375711532098,-61.8424984770085
"51","SiO-41",47.2374245778133,-61.842075243824
"52","SiO-42",47.237575321109,-61.8425423150676
"53","SiO-43",47.2373968008697,-61.8419958826819
"54","SiO-44",47.2373380129109,-61.8420858782782
"55","SiO-45",47.2375042869432,-61.8421886068055
"56","SiO-46",47.2375199975404,-61.8423572004127
"57","SiO-47",47.2378065362626,-61.8430651997025
"58","SiO-48",47.2377520524268,-61.8427489613158
"59","SiO-49",47.2375541454709,-61.8423772537411
"60","SiO-50",47.2377817499188,-61.8427708807295
"61","RfO-31",47.2389847993077,-61.8482058372172
"62","RfO-32",47.2389385953307,-61.8482026386139
"63","RfO-33",47.2386214607255,-61.8472081971355
"64","RfO-34",47.2385824612234,-61.8472709430513
"65","RfO-35",47.2379021350178,-61.8449193326598
"66","RfO-36",47.2383162465666,-61.8465703389366
"67","RfO-37",47.2390048562623,-61.8484439978231
"68","RfO-38",47.23791944616,-61.8447361126127
"69","RfO-39",47.2386029784481,-61.8473430081901
"70","RfO-40",47.2386102805416,-61.847058373005
"71","RfO-41",47.238066534433,-61.8453392320652
"72","RfO-42",47.2383862590568,-61.8466140758164
"73","RfO-43",47.2388588506157,-61.847949973862
"74","RfO-44",47.23834586949,-61.8466264748661
"75","RfO-45",47.238762358205,-61.8474405357141
"76","RfO-46",47.238775276294,-61.8478231124422
"77","RfO-47",47.2389701757356,-61.8481760400025
"78","RfO-48",47.2389662673302,-61.8480491555019
"79","RfO-49",47.238898632231,-61.8478455443636
"80","RfO-50",47.2387582747121,-61.8477558213329
"81","RfL-31",47.2379130513803,-61.8384819642898
"82","RfL-32",47.2379674003982,-61.8386108851718
"83","RfL-33",47.2379586660927,-61.8389015020781
"84","RfL-34",47.238199292166,-61.8410378090397
"85","RfL-35",47.2384361860193,-61.8360927590691
"86","RfL-36",47.2378302441317,-61.8397083259325
"87","RfL-37",47.2380479015831,-61.8379512630174
"88","RfL-38",47.2385479007443,-61.8358149672446
"89","RfL-39",47.2380596256447,-61.8411008928262
"90","RfL-40",47.2380941893353,-61.8407363704992
"91","RfL-41",47.2384747026924,-61.8356518949404
"92","RfL-42",47.2379937303057,-61.8369931770955
"93","RfL-43",47.2381680551781,-61.8411201249484
"94","RfL-44",47.2378722202381,-61.8395469986163
"95","RfL-45",47.238287251699,-61.8412142293753
"96","RfL-46",47.2380050635764,-61.8383118808042
"97","RfL-47",47.2378751999682,-61.8400977786336
"98","RfL-48",47.2379815086569,-61.8400053126494
"99","RfL-49",47.237930116789,-61.8402962261318
"100","RfL-50",47.2381716232352,-61.8411906154939
