"station_id","longitude","latitude"
"Re-31",-61.8409310509201,47.237039144027
"Re-32",-61.8416139904281,47.2372699022431
"Re-33",-61.8352423727975,47.237581917292
"Re-34",-61.8355573558538,47.2375156640937
"Re-35",-61.8391706397734,47.2368837912721
"Re-36",-61.8416362993803,47.2372211864164
"Re-37",-61.836749329172,47.2370885853382
"Re-38",-61.8370887669085,47.2370624913317
"Re-39",-61.8371623772668,47.237100643457
"Re-40",-61.8408088127372,47.2370876435083
"Re-41",-61.8389958395509,47.2368830702689
"Re-42",-61.8360371436123,47.2373121830531
"Re-43",-61.840668279581,47.2371171270819
"Re-44",-61.835909366868,47.2373755895712
"Re-45",-61.8376759000821,47.2370547546101
"Re-46",-61.8357862023926,47.2373437655289
"Re-47",-61.8401103508217,47.2369839612573
"Re-48",-61.8345561758549,47.2381623165807
"Re-49",-61.8380045768324,47.2369448222681
"Re-50",-61.8394363388748,47.2369313749413
"SiL-31",-61.8415763389837,47.2373070363008
"SiL-32",-61.8414284134726,47.2374004443923
"SiL-33",-61.8368166121997,47.2373385512546
"SiL-34",-61.8348899085189,47.2380135266135
"SiL-35",-61.8392970530286,47.2372465790438
"SiL-36",-61.840059223505,47.2372457937958
"SiL-37",-61.8410958032667,47.237308950279
"SiL-38",-61.8358635304626,47.2375905696553
"SiL-39",-61.8374943018292,47.2372410671449
"SiL-40",-61.8404621593279,47.2372437533405
"SiL-41",-61.8417383332949,47.2375023053146
"SiL-42",-61.838143465177,47.2373207160741
"SiL-43",-61.8391279898126,47.2369627766143
"SiL-44",-61.836886805649,47.2373190319005
"SiL-45",-61.8360716700514,47.2374597363202
"SiL-46",-61.8372373065178,47.237309138139
"SiL-47",-61.8376078117776,47.2372107723969
"SiL-48",-61.8366338329788,47.2372599606898
"SiL-49",-61.8412904009617,47.2375360147748
"SiL-50",-61.8376939707012,47.2371959244287
"SiO-31",-61.842066839308,47.2374335286689
"SiO-32",-61.8425447083427,47.2377118419559
"SiO-33",-61.8429060713175,47.2378243273819
"SiO-34",-61.8419890299993,47.2373437972751
"SiO-35",-61.8425282675869,47.2375731913744
"SiO-36",-61.8421600303715,47.2375027778968
"SiO-37",-61.8419335294228,47.2374099693327
"SiO-38",-61.8421313145751,47.2374105291388
"SiO-39",-61.8422259379451,47.2375272042009
"SiO-40",-61.8431813563338,47.2377721989704
"SiO-41",-61.8425835149173,47.2376735459386
"SiO-42",-61.8429805643678,47.2377289378626
"SiO-43",-61.8420980627547,47.2374817538261
"SiO-44",-61.8423908173531,47.2375441496141
"SiO-45",-61.8429507683933,47.2377829114966
"SiO-46",-61.8430609555445,47.2377307707462
"SiO-47",-61.8422926935564,47.2374961568616
"SiO-48",-61.8422922388971,47.2375846240187
"SiO-49",-61.842774122563,47.2377483629361
"SiO-50",-61.8426712367441,47.2376435164819
"RfO-31",-61.8479962223285,47.2389299705616
"RfO-32",-61.8478266357567,47.2388863216446
"RfO-33",-61.8481005657673,47.238896239503
"RfO-34",-61.8472684146048,47.2386843118735
"RfO-35",-61.8451518551228,47.2379653401884
"RfO-36",-61.845221155042,47.2379976312246
"RfO-37",-61.8450285662112,47.2379130439647
"RfO-38",-61.8478080649459,47.2387698164163
"RfO-39",-61.8457738032211,47.2382125710954
"RfO-40",-61.8461299035742,47.2382592503075
"RfO-41",-61.8467526406739,47.2383968604939
"RfO-42",-61.8469559822222,47.2385536182116
"RfO-43",-61.8463421256153,47.2383487579757
"RfO-44",-61.8485819052235,47.2390261190666
"RfO-45",-61.8451220092409,47.2380091571077
"RfO-46",-61.8455772279644,47.2380349724381
"RfO-47",-61.8472081240918,47.2386085535712
"RfO-48",-61.8461627648574,47.2382189990875
"RfO-49",-61.8474694332777,47.2387378078475
"RfO-50",-61.8445909975208,47.2378488041931
"RfL-31",-61.8360807081032,47.2383147735541
"RfL-32",-61.8375858840623,47.2379741174409
"RfL-33",-61.8361626359382,47.2384572874386
"RfL-34",-61.8411543296774,47.2382456310797
"RfL-35",-61.8404320064537,47.2379194809034
"RfL-36",-61.8397560891054,47.2377950167139
"RfL-37",-61.8360532501808,47.2385917206778
"RfL-38",-61.8410566901646,47.2382802893867
"RfL-39",-61.8361354811585,47.2381862113587
"RfL-40",-61.8383950673626,47.2378216323298
"RfL-41",-61.8396256097336,47.2376779373644
"RfL-42",-61.8402152291868,47.2379920254086
"RfL-43",-61.8353728254803,47.2386675361343
"RfL-44",-61.8385477636803,47.2379753735344
"RfL-45",-61.8396395474989,47.2379935273366
"RfL-46",-61.8371356306342,47.2381604057465
"RfL-47",-61.8359587674489,47.2385485194079
"RfL-48",-61.8356488945225,47.23887494988
"RfL-49",-61.8400533419051,47.2379945291457
"RfL-50",-61.8365468217437,47.238069451365
