"station_id","longitude","latitude"
"Re-1",-61.8384396990697,47.2369254332846
"Re-2",-61.8410251857997,47.2371148485276
"Re-3",-61.8361437073489,47.2372315908486
"Re-4",-61.8404435021167,47.2370259773945
"Re-5",-61.8350264039041,47.2377680964954
"Re-6",-61.836895491931,47.2371672655214
"Re-7",-61.8353073227599,47.2376197308286
"Re-8",-61.8374268238295,47.2370930569613
"Re-9",-61.840948494483,47.2371386698499
"Re-10",-61.834818537701,47.2379347453235
"Re-11",-61.8403021651983,47.2369485473103
"Re-12",-61.8405291828244,47.2370024586134
"Re-13",-61.8355848468251,47.237451600567
"Re-14",-61.8397989289913,47.2368802295858
"Re-15",-61.8389099068149,47.2368569973406
"Re-16",-61.8395831661424,47.2368605364287
"Re-17",-61.8407352438314,47.2370991554892
"Re-18",-61.8401767215309,47.2369884390497
"Re-19",-61.8399969348584,47.2369456663171
"Re-20",-61.836700448652,47.2371941974655
"Re-21",-61.8363132222769,47.2371846987624
"Re-22",-61.8349285713508,47.2378915576568
"Re-23",-61.8407451351603,47.2370081900528
"Re-24",-61.8352055539289,47.2376924010821
"Re-25",-61.8411794273858,47.2370741170006
"Re-26",-61.8378826450048,47.2369683047545
"Re-27",-61.8366740081318,47.2371440518403
"Re-28",-61.8396788879569,47.2368521073298
"Re-29",-61.8350894784199,47.2376837790237
"Re-30",-61.834697965475,47.23798135031
"SiL-1",-61.8406652720378,47.2372180886503
"SiL-2",-61.8388437322687,47.2371778519794
"SiL-3",-61.8352726380291,47.2377515710618
"SiL-4",-61.8375588184591,47.2372532724784
"SiL-5",-61.8351232983766,47.2378465687125
"SiL-6",-61.8415712192882,47.2375881365635
"SiL-7",-61.8389380767714,47.2372039964926
"SiL-8",-61.8375985967725,47.2371453187401
"SiL-9",-61.8407288122977,47.2373349482592
"SiL-10",-61.8376085459368,47.2373650646746
"SiL-11",-61.8394469796606,47.2371165642254
"SiL-12",-61.8350109569841,47.2382610842444
"SiL-13",-61.841364229704,47.2373796435848
"SiL-14",-61.8383886225921,47.2371712269938
"SiL-15",-61.8348982905313,47.2383953646547
"SiL-16",-61.8417659689949,47.2374151314591
"SiL-17",-61.8417543323472,47.2375511104949
"SiL-18",-61.839718216878,47.237014791443
"SiL-19",-61.8350702456306,47.2381845389782
"SiL-20",-61.8410597430224,47.2374512655331
"SiL-21",-61.8354880669389,47.2378539394995
"SiL-22",-61.8354268595164,47.237948857258
"SiL-23",-61.839703199676,47.2370804300529
"SiL-24",-61.8349528018418,47.2383175415623
"SiL-25",-61.8351623527046,47.237924986486
"SiL-26",-61.8391683964223,47.2371774829458
"SiL-27",-61.8395829096596,47.2372322826285
"SiL-28",-61.8389131154723,47.237298793873
"SiL-29",-61.8402280313972,47.2372859057698
"SiL-30",-61.8394454621157,47.2372322288313
"SiO-1",-61.8422258397621,47.2374802246654
"SiO-2",-61.8428454611183,47.2377934127733
"SiO-3",-61.8431637395413,47.2378162598106
"SiO-4",-61.8424331065579,47.2376360778122
"SiO-5",-61.8420036081487,47.2373990885001
"SiO-6",-61.8428267670667,47.2377200413828
"SiO-7",-61.8422357409639,47.237434362294
"SiO-8",-61.8431064684655,47.2378513404829
"SiO-9",-61.8427095950384,47.2377580233694
"SiO-10",-61.8427631573812,47.2377930647148
"SiO-11",-61.842153835006,47.2374570313885
"SiO-12",-61.8423178298707,47.2375415826113
"SiO-13",-61.8424436468751,47.2375883803321
"SiO-14",-61.8420999275016,47.2373477054879
"SiO-15",-61.8426490710328,47.2376862181357
"SiO-16",-61.8425256356029,47.2376482544269
"SiO-17",-61.8426346057279,47.2377402173394
"SiO-18",-61.8430671260504,47.2378012637083
"SiO-19",-61.8429079763474,47.2377432917698
"SiO-20",-61.8424062824515,47.2374949883222
"SiO-21",-61.8430193766932,47.2377664886958
"SiO-22",-61.842739774647,47.2376881541773
"SiO-23",-61.8423602110715,47.2375864106536
"SiO-24",-61.8421658972894,47.2373699502569
"SiO-25",-61.8424542373161,47.2375280256309
"SiO-26",-61.8426050164957,47.2376281091489
"SiO-27",-61.8424843619683,47.2376912450762
"SiO-28",-61.8429970890919,47.2378153073172
"SiO-29",-61.8423420870945,47.2374636707253
"SiO-30",-61.8431357280566,47.2377388398568
"RfO-1",-61.8469594993843,47.2384937540701
"RfO-2",-61.8483288243862,47.2390048906582
"RfO-3",-61.8478678407776,47.238817365082
"RfO-4",-61.8484241895755,47.238980022793
"RfO-5",-61.8449172300054,47.2379600802917
"RfO-6",-61.8460552456674,47.2382083572215
"RfO-7",-61.8455776690532,47.2381501993535
"RfO-8",-61.8457210882518,47.2381230569354
"RfO-9",-61.8488944874156,47.2391862784681
"RfO-10",-61.8477392588939,47.2387723081667
"RfO-11",-61.8488201157032,47.2391599109477
"RfO-12",-61.8482892136952,47.2390563373451
"RfO-13",-61.846590483589,47.2384273631957
"RfO-14",-61.8479535405756,47.2388213283143
"RfO-15",-61.8458820159087,47.2382072502632
"RfO-16",-61.8489815263563,47.2391878596012
"RfO-17",-61.8478928030469,47.2389155514534
"RfO-18",-61.8487371242549,47.2391364714346
"RfO-19",-61.8465622392298,47.2383439058636
"RfO-20",-61.8473839511708,47.2387180419668
"RfO-21",-61.8486055978479,47.239114449722
"RfO-22",-61.8487088713292,47.2391827124186
"RfO-23",-61.8464398691992,47.2383072303311
"RfO-24",-61.8484801405766,47.2391049330935
"RfO-25",-61.8489661171324,47.2393005140767
"RfO-26",-61.8472955582176,47.2386254141682
"RfO-27",-61.8459278492426,47.2381638632648
"RfO-28",-61.8450440289002,47.2379652105084
"RfO-29",-61.8482281339388,47.2389938499147
"RfO-30",-61.8488914799618,47.2392451511223
"RfL-1",-61.8375023894567,47.2379583644089
"RfL-2",-61.8378805010443,47.2378174196312
"RfL-3",-61.8378303516015,47.2380862084569
"RfL-4",-61.8393356769069,47.2378215254108
"RfL-5",-61.8410013820345,47.2381935070231
"RfL-6",-61.8355699382877,47.2388006124468
"RfL-7",-61.840155215312,47.2378928290499
"RfL-8",-61.8392200270834,47.2378513634464
"RfL-9",-61.8409720936969,47.2380583363111
"RfL-10",-61.8362602455062,47.2383563008155
"RfL-11",-61.8376898304385,47.237918975715
"RfL-12",-61.8410083575901,47.238130477089
"RfL-13",-61.8393341099969,47.237943063309
"RfL-14",-61.8406103374459,47.2380531457105
"RfL-15",-61.8372514089594,47.2380690653521
