"name","latitude","longitude"
"Re-1",47.2374111115177,-61.8358097059599
"Re-2",47.2370771810107,-61.8372747030132
"Re-3",47.2368305678856,-61.8394454047198
"Re-4",47.2381852598491,-61.834602924766
"Re-5",47.2369930858619,-61.840400599909
"Re-6",47.2377088130495,-61.8350202435358
"Re-7",47.2369401849372,-61.8380368595285
"Re-8",47.2377296052513,-61.8351401443674
"Re-9",47.2370498035187,-61.841174884911
"Re-10",47.2373487358546,-61.8359291602298
"Re-11",47.2371506188698,-61.8415859559195
"Re-12",47.2376341523834,-61.8351907296242
"Re-13",47.2370657745228,-61.8403678528581
"Re-14",47.2369152067506,-61.8399898463097
"Re-15",47.2374416412194,-61.8355814572363
"Re-16",47.2370244662186,-61.8379684789347
"Re-17",47.2371458739161,-61.8369551886056
"Re-18",47.2369876083866,-61.8383207724647
"Re-19",47.2371970292209,-61.8364831471286
"Re-20",47.2370524663726,-61.8404848957771
"SiL-1",47.2371567377243,-61.8375972375741
"SiL-2",47.2372367506993,-61.841203258429
"SiL-3",47.2374684596124,-61.8366063757932
"SiL-4",47.2373106689732,-61.8362684770207
"SiL-5",47.2374670306725,-61.8412663842218
"SiL-6",47.2372996149732,-61.8384535623919
"SiL-7",47.2371747805355,-61.8377910021029
"SiL-8",47.2375272137595,-61.8412706451724
"SiL-9",47.2373164622232,-61.8376703686697
"SiL-10",47.2375030879733,-61.8365202310076
"SiL-11",47.237978513022,-61.835376416321
"SiL-12",47.2372415213628,-61.8374425280325
"SiL-13",47.2369908378032,-61.8393881476689
"SiL-14",47.2375059564881,-61.8366294972446
"SiL-15",47.2372595874249,-61.8382395237432
"SiL-16",47.2374261994397,-61.8416481508587
"SiL-17",47.2371664116247,-61.8369524934542
"SiL-18",47.2377625963,-61.8355087534011
"SiL-19",47.2374277894203,-61.8412317528994
"SiL-20",47.2378263241668,-61.835250192169
"SiO-1",47.2374369234565,-61.8421756727932
"SiO-2",47.2377620342607,-61.8429180409247
"SiO-3",47.2374040780729,-61.8420785800192
"SiO-4",47.2377323702756,-61.8431219887815
"SiO-5",47.2376311317866,-61.8425324199936
"SiO-6",47.237524934286,-61.8423012280039
"SiO-7",47.2376644612765,-61.8424661135402
"SiO-8",47.2373865843658,-61.8419587245812
"SiO-9",47.2374992401332,-61.8422962082758
"SiO-10",47.2375711532098,-61.8424984770085
"SiO-11",47.2374245778133,-61.842075243824
"SiO-12",47.237575321109,-61.8425423150676
"SiO-13",47.2373968008697,-61.8419958826819
"SiO-14",47.2373380129109,-61.8420858782782
"SiO-15",47.2375042869432,-61.8421886068055
"SiO-16",47.2375199975404,-61.8423572004127
"SiO-17",47.2378065362626,-61.8430651997025
"SiO-18",47.2377520524268,-61.8427489613158
"SiO-19",47.2375541454709,-61.8423772537411
"SiO-20",47.2377817499188,-61.8427708807295
"RfO-1",47.2389847993077,-61.8482058372172
"RfO-2",47.2389385953307,-61.8482026386139
"RfO-3",47.2386214607255,-61.8472081971355
"RfO-4",47.2385824612234,-61.8472709430513
"RfO-5",47.2379021350178,-61.8449193326598
"RfO-6",47.2383162465666,-61.8465703389366
"RfO-7",47.2390048562623,-61.8484439978231
"RfO-8",47.23791944616,-61.8447361126127
"RfO-9",47.2386029784481,-61.8473430081901
"RfO-10",47.2386102805416,-61.847058373005
"RfO-11",47.238066534433,-61.8453392320652
"RfO-12",47.2383862590568,-61.8466140758164
"RfO-13",47.2388588506157,-61.847949973862
"RfO-14",47.23834586949,-61.8466264748661
"RfO-15",47.238762358205,-61.8474405357141
"RfO-16",47.238775276294,-61.8478231124422
"RfO-17",47.2389701757356,-61.8481760400025
"RfO-18",47.2389662673302,-61.8480491555019
"RfO-19",47.238898632231,-61.8478455443636
"RfO-20",47.2387582747121,-61.8477558213329
"RfL-1",47.2379130513803,-61.8384819642898
"RfL-2",47.2379674003982,-61.8386108851718
"RfL-3",47.2379586660927,-61.8389015020781
"RfL-4",47.238199292166,-61.8410378090397
"RfL-5",47.2384361860193,-61.8360927590691
"RfL-6",47.2378302441317,-61.8397083259325
"RfL-7",47.2380479015831,-61.8379512630174
"RfL-8",47.2385479007443,-61.8358149672446
"RfL-9",47.2380596256447,-61.8411008928262
"RfL-10",47.2380941893353,-61.8407363704992
"RfL-11",47.2384747026924,-61.8356518949404
"RfL-12",47.2379937303057,-61.8369931770955
"RfL-13",47.2381680551781,-61.8411201249484
"RfL-14",47.2378722202381,-61.8395469986163
"RfL-15",47.238287251699,-61.8412142293753
"RfL-16",47.2380050635764,-61.8383118808042
"RfL-17",47.2378751999682,-61.8400977786336
"RfL-18",47.2379815086569,-61.8400053126494
"RfL-19",47.237930116789,-61.8402962261318
"RfL-20",47.2381716232352,-61.8411906154939
