"name","latitude","longitude"
"Re-1",47.2377283365376,-61.834998643509
"Re-2",47.2368670334515,-61.8395933515926
"Re-3",47.2372241870301,-61.836556395264
"Re-4",47.2370730251436,-61.8373608709621
"Re-5",47.2369326872761,-61.8388728864444
"Re-6",47.2374155567226,-61.8355457570058
"Re-7",47.2370026946089,-61.840250337489
"Re-8",47.2374938834762,-61.8354094268802
"Re-9",47.2375443686832,-61.8355495635085
"Re-10",47.2370275268986,-61.8372876687391
"Re-11",47.2369670450708,-61.8377079606033
"Re-12",47.2382477543108,-61.8344657379766
"Re-13",47.2370237376213,-61.8371784439939
"Re-14",47.2368370310384,-61.8396367208444
"Re-15",47.2370071145493,-61.840663550763
"Re-16",47.2369605775266,-61.8400945344389
"Re-17",47.2369026376115,-61.8394016881053
"Re-18",47.2369038444115,-61.8396837939568
"Re-19",47.2370340308755,-61.8408731262538
"Re-20",47.2379445505549,-61.8346935514683
"Re-21",47.2368893260716,-61.8387000111328
"Re-22",47.2373786458608,-61.8358873662589
"Re-23",47.2370785713028,-61.8369609305043
"Re-24",47.2370665380362,-61.8404275258502
"Re-25",47.2372460430761,-61.8418523914494
"Re-26",47.2369621361995,-61.8386470978079
"Re-27",47.2370935168526,-61.8410081802186
"Re-28",47.238053531868,-61.834623186893
"Re-29",47.2368903070397,-61.8386167536969
"Re-30",47.2379095649473,-61.8348637236698
"SiL-1",47.23771820481,-61.8352960157386
"SiL-2",47.2370824698297,-61.8395864569598
"SiL-3",47.2371990178387,-61.8397356820915
"SiL-4",47.2372001243018,-61.841174795363
"SiL-5",47.2372727005482,-61.8408771550182
"SiL-6",47.2375230753143,-61.8417996402513
"SiL-7",47.2372777127639,-61.8401915748679
"SiL-8",47.2371877920884,-61.8403168854087
"SiL-9",47.2369767888723,-61.8391254842493
"SiL-10",47.2373084245014,-61.8367817219777
"SiL-11",47.2373428849067,-61.8407139983263
"SiL-12",47.2371870312618,-61.8404767112557
"SiL-13",47.237598006602,-61.8356867424582
"SiL-14",47.2370880957903,-61.8387120239083
"SiL-15",47.237206907914,-61.840029776038
"SiL-16",47.2370018991169,-61.8389016952744
"SiL-17",47.2372853609531,-61.8364917075033
"SiL-18",47.2372820901608,-61.8415432578573
"SiL-19",47.238284609297,-61.8349160231981
"SiL-20",47.2375430545966,-61.8358022471446
"SiL-21",47.2372498144477,-61.8406104694221
"SiL-22",47.2376138306963,-61.8416544068995
"SiL-23",47.2382080334396,-61.8348780785702
"SiL-24",47.2372451613382,-61.8400941431264
"SiL-25",47.2381434175181,-61.8351221924621
"SiL-26",47.2372311221078,-61.837207098438
"SiL-27",47.2380472756999,-61.8353368685236
"SiL-28",47.2371439787737,-61.8393566014717
"SiL-29",47.2371943616388,-61.841006463852
