"name","name_full","echantillon","Long_epsg2946","Lat_epsg2946"
"SiL-31","Site sous-influence large-31","Stations faites",279250.58237995,5233152.37071147
"SiL-32","Site sous-influence large-32","Stations faites",279205.811770477,5233157.21268542
"SiL-33","Site sous-influence large-33","Stations faites",279418.011542184,5233217.69968227
"SiL-34","Site sous-influence large-34","Stations non-échantillonnées",278937.339339774,5233162.94511455
"SiL-35","Site sous-influence large-35","Stations non-échantillonnées",279362.538581842,5233169.81270308
"SiL-36","Site sous-influence large-36","Stations faites",279061.714038842,5233144.86586325
"SiL-37","Site sous-influence large-37","Stations faites",279295.39115189,5233164.98698347
"SiL-38","Site sous-influence large-38","Stations non-échantillonnées",278998.656470489,5233155.32349198
"SiL-39","Site sous-influence large-39","Stations faites",279045.763013061,5233145.09841405
"SiL-40","Site sous-influence large-40","Stations non-échantillonnées",279353.43659495,5233185.78541487
"SiL-41","Site sous-influence large-41","Stations non-échantillonnées",278945.344783071,5233157.27474966
"SiL-42","Site sous-influence large-42","Stations faites",279180.059444407,5233150.56913479
"SiL-43","Site sous-influence large-43","Stations non-échantillonnées",279197.162735584,5233128.38400349
"SiL-44","Site sous-influence large-44","Stations non-échantillonnées",279007.036903577,5233167.20297296
"SiL-45","Site sous-influence large-45","Stations non-échantillonnées",278995.424717115,5233157.32855474
"SiL-46","Site sous-influence large-46","Stations non-échantillonnées",279167.040504487,5233141.22939534
"SiL-47","Site sous-influence large-47","Stations non-échantillonnées",278997.615175203,5233175.07989103
"SiL-48","Site sous-influence large-48","Stations non-échantillonnées",279414.390924497,5233232.38541713
"SiL-49","Site sous-influence large-49","Stations non-échantillonnées",279209.436781522,5233150.5815068
"SiL-50","Site sous-influence large-50","Stations non-échantillonnées",278976.585202393,5233167.9055149
"SiO-01","Site sous-influence ouest-1","Stations non-échantillonnées",278866.966303042,5233206.87032006
"SiO-02","Site sous-influence ouest-2","Stations faites",278853.796660714,5233200.58236759
"SiO-03","Site sous-influence ouest-3","Stations faites",278866.79447728,5233194.18274328
"SiO-04","Site sous-influence ouest-4","Stations faites",278876.595295588,5233191.86194757
"SiO-05","Site sous-influence ouest-5","Stations faites",278828.941952591,5233209.16818906
"SiO-06","Site sous-influence ouest-6","Stations faites",278873.349167356,5233189.67362081
"SiO-07","Site sous-influence ouest-7","Stations faites",278875.200840289,5233184.10806213
"SiO-08","Site sous-influence ouest-8","Stations faites",278877.908113843,5233180.67801641
"SiO-09","Site sous-influence ouest-9","Stations faites",278834.126206955,5233207.59260895
"SiO-10","Site sous-influence ouest-10","Stations faites",278870.780025781,5233189.70802134
"SiO-11","Site sous-influence ouest-11","Stations non-échantillonnées",278850.323902415,5233213.45492527
"SiO-12","Site sous-influence ouest-12","Stations non-échantillonnées",278909.32466137,5233167.92834812
"SiO-13","Site sous-influence ouest-13","Stations faites",278842.992641402,5233208.33779469
"SiO-14","Site sous-influence ouest-14","Stations faites",278865.377294338,5233202.72974155
"SiO-15","Site sous-influence ouest-15","Stations non-échantillonnées",278907.577442061,5233171.71379429
"SiO-16","Site sous-influence ouest-16","Stations non-échantillonnées",278846.815255254,5233217.27040284
"SiO-17","Site sous-influence ouest-17","Stations faites",278863.306812692,5233198.59786342
"SiO-18","Site sous-influence ouest-18","Stations faites",278826.954957342,5233215.15338561
"SiO-19","Site sous-influence ouest-19","Stations non-échantillonnées",278889.074535853,5233183.06804518
"SiO-20","Site sous-influence ouest-20","Stations faites",278896.851655111,5233168.7602929
"SiO-21","Site sous-influence ouest-21","Stations faites",278881.043803497,5233185.9378146
"SiO-22","Site sous-influence ouest-22","Stations non-échantillonnées",278893.895836077,5233179.06053736
"SiO-23","Site sous-influence ouest-23","Stations faites",278881.476121365,5233193.16743124
"SiO-24","Site sous-influence ouest-24","Stations faites",278877.449084361,5233183.45337528
"SiO-25","Site sous-influence ouest-25","Stations non-échantillonnées",278900.281027484,5233172.34756815
"SiO-26","Site sous-influence ouest-26","Stations faites",278859.781660591,5233197.39340438
"SiO-27","Site sous-influence ouest-27","Stations non-échantillonnées",278906.409785014,5233175.29178434
"SiO-28","Site sous-influence ouest-28","Stations faites",278886.591346805,5233185.13124361
"SiO-29","Site sous-influence ouest-29","Stations non-échantillonnées",278905.39094331,5233164.66757892
"SiO-30","Site sous-influence ouest-30","Stations non-échantillonnées",278902.593565298,5233166.97824396
"SiO-31","Site sous-influence ouest-31","Stations faites",278876.617568265,5233185.67704738
"SiO-32","Site sous-influence ouest-32","Stations non-échantillonnées",278899.363481665,5233176.68410369
"SiO-33","Site sous-influence ouest-33","Stations faites",278846.296618897,5233210.9787948
"SiO-34","Site sous-influence ouest-34","Stations faites",278860.65470478,5233205.64513428
"SiO-35","Site sous-influence ouest-35","Stations faites",278886.255475794,5233178.33797556
"SiO-36","Site sous-influence ouest-36","Stations non-échantillonnées",278830.369107118,5233219.54723885
"SiO-37","Site sous-influence ouest-37","Stations faites",278881.654822846,5233180.45999341
"SiO-38","Site sous-influence ouest-38","Stations non-échantillonnées",278910.001471543,5233170.50653721
"SiO-39","Site sous-influence ouest-39","Stations faites",278892.353084988,5233174.40151869
"SiO-40","Site sous-influence ouest-40","Stations non-échantillonnées",278832.392200037,5233220.37033207
"SiO-41","Site sous-influence ouest-41","Stations non-échantillonnées",278893.348055008,5233170.31589133
"SiO-42","Site sous-influence ouest-42","Stations non-échantillonnées",278820.239137683,5233215.4260928
"SiO-43","Site sous-influence ouest-43","Stations non-échantillonnées",278827.07795049,5233210.26324842
"SiO-44","Site sous-influence ouest-44","Stations non-échantillonnées",278885.307033731,5233188.34432524
